state,state_code,place_name,category,description,timings,entry_fee,best_time,nearest_railway,nearest_bus,nearest_airport,metro_station,accessibility,guided_tours,parking,nearby_amenities,official_website,wikipedia,special_notes,source_file
Meghalaya,ML,Living Root Bridges,Eco-Tourism / Trekking / Cultural Heritage,nan,Trek accessible daylight hours only (~6 AM–4 PM),Trek fees ₹20–₹50,"Nov–Apr (safe trails, moderate weather)",Guwahati — ~160 km,Sohra bus stand — ~10–12 km to Tyrna (trek start),Shillong Airport — ~65 km,No metro available,~3500+ steps trek from Tyrna village; difficult for elderly & not wheelchair-friendly,Essential; local Khasi guides available at Tyrna/Nongriat,Limited at Tyrna village; ₹30–₹50,Homestays in Nongriat; tea stalls on trail,,https://en.wikipedia.org/wiki/Living_root_bridge,UNESCO tentative heritage; Double-decker bridge most famous,Meghalaya_tourist.csv
Meghalaya,ML,Dawki & Umngot River,River / Eco-Tourism / Indo-Bangladesh Border Town,nan,Daylight hours; boating 8:00 AM – 4:00 PM,₹100–₹500 (boat ride charges),"Nov–Apr (river crystal clear, boating popular)",Guwahati — ~170 km,Dawki bus stand,Shillong Airport — ~80 km; Guwahati Airport — ~200 km,No metro available,Road accessible; riverside steps; not wheelchair-friendly,Boatmen & guides available,"Available near riverside, ₹30–₹50","Border market, homestays, eateries",,https://en.wikipedia.org/wiki/Umngot_River,Famous for crystal-clear Umngot River — boats appear “floating in air” in photos,Meghalaya_tourist.csv
Meghalaya,ML,Mawlynnong Village,Eco-Tourism / Rural Tourism,nan,Open year-round (homestay-based),Village entry ₹50 approx,Oct–Apr,Guwahati — ~170 km,Mawlynnong village bus stand,Shillong Airport — ~90 km,No metro available,"Road to village; walkable lanes (narrow, cobbled)",Village guides & eco-tour operators available,Parking near entrance; ₹30–₹50,"Homestays, local restaurants, eco-toilets",https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Mawlynnong,"Awarded “Cleanest Village in Asia” — bamboo dustbins, eco-friendly living",Meghalaya_tourist.csv
Meghalaya,ML,Umiam Lake (Barapani),Reservoir Lake / Water Sports,nan,9:00 AM – 5:00 PM (water sports complex),₹20–₹50 for entry; boating/sports ₹100–₹500,Oct–May,Guwahati — ~90 km,Shillong ISBT Mawiong — ~15 km,Shillong Airport — ~35 km,No metro available,Roadside stop on Guwahati–Shillong highway; lakefront moderate paths,Local boating operators,"Available at viewpoint, ₹20–₹50","Resorts, restaurants, washrooms",,https://en.wikipedia.org/wiki/Umiam_Lake,"Scenic lake with boating, kayaking & zipline — popular photo spot before entering Shillong",Meghalaya_tourist.csv
Meghalaya,ML,Mawsmai Cave,Limestone Cave / Eco-Tourism,nan,9:00 AM – 5:30 PM,"₹20 adults, ₹10 children",Oct–Apr,Guwahati — ~150 km,Sohra bus stand — ~6 km,Shillong Airport — ~55 km,No metro available,Easy initial walk; narrow passages inside cave (not wheelchair accessible),Not mandatory; local guides explain formations,"Parking at cave entrance, ₹20","Shops, tea stalls, toilets",,https://en.wikipedia.org/wiki/Mawsmai_Cave,Popular tourist cave — limestone stalactites & stalagmites,Meghalaya_tourist.csv
Meghalaya,ML,Balpakram National Park,National Park / Wildlife,nan,Day visits (sunrise–sunset),Not documented (small eco-tourism fee may apply),"Nov–Mar (pleasant weather, wildlife sightings)",Guwahati — ~220 km; Mendipathar ~100 km,Baghmara town bus stand — ~45 km,Guwahati Airport — ~220 km,No metro available,Mountainous roads; treks inside; not wheelchair-friendly,Forest guides available (mandatory in some zones),Village parking near entry,"Basic lodges, eco huts, shops in Baghmara",https://megtourism.gov.in/,https://en.wikipedia.org/wiki/Balpakram_National_Park,Called “Meghalaya’s Grand Canyon”; sacred site for Garo tribes,Meghalaya_tourist.csv
Meghalaya,ML,Elephant Falls,Waterfall (Multi-Tiered),nan,9:00 AM – 5:00 PM,₹30 approx,Monsoon (Jun–Sep) for peak flow,Guwahati — ~110 km,Shillong Bus Stand — ~12 km,Shillong Airport — ~35 km,No metro available,"Steps to reach lower tiers — moderate effort, not wheelchair-friendly",Not required,"Available near gate, ₹20–₹30","Tea stalls, souvenir shops, restrooms",,https://en.wikipedia.org/wiki/Elephant_Falls,Popular picnic spot; named after an old elephant-shaped rock (destroyed in earthquake),Meghalaya_tourist.csv
Meghalaya,ML,Siju Cave & Wildlife Sanctuary,Cave / Wildlife Sanctuary,nan,Daylight hours (10:00 AM – 4:00 PM),"₹20 adults, ₹10 children",Oct–Feb (dry season),Guwahati — ~216 km; Mendipathar ~100 km,Baghmara town bus stand — ~30 km to Siju village,Guwahati Airport — ~216 km,No metro available,Road access; foot walk from drop-off; not wheelchair-friendly inside cave,Local guides available; advisable for safety,Available at Siju Bazaar / near entrance,"Basic food stalls, restrooms in nearby villages",,https://en.wikipedia.org/wiki/Siju_Cave,Known as “Bat Cave”; rich biodiversity; part of wildlife sanctuary,Meghalaya_tourist.csv
Meghalaya,ML,Nokrek National Park,National Park / Biosphere Reserve,nan,6:00 AM – 6:00 PM,"₹50 adults, ₹20 children","Nov–Apr (cool, dry conditions)",Guwahati — ~160-210 km,Tura town bus stand — ~45 km from Nokrek,Guwahati Airport — ~150-200 km,No metro available,Forest roads; some hiking/trekking; not wheelchair-friendly,Forest department guides recommended,Available at park entrance / base camps,"Lodges, eco huts around Tura / Daribokgre",https://meghalayatourism.in,https://en.wikipedia.org/wiki/Nokrek_National_Park,UNESCO Biosphere Reserve since 2009; unique biodiversity,Meghalaya_tourist.csv
Meghalaya,ML,Langshiang Falls,Waterfall / Natural Scenic Spot,nan,Daylight hours,Not documented,Oct–May (post-monsoon),Guwahati — ~200+ km,Nongstoin Bus Stand — ~24-25 km,Guwahati Airport,No metro available,Trek/walk from Sangriang village; not wheelchair-friendly,Local guides available,Parking at village/Sangriang approach,"Villagers’ shops, small tea stalls",,https://en.wikipedia.org/wiki/Langshiang_Falls,High plunge waterfall (~337 m); less crowded than more famous falls,Meghalaya_tourist.csv
Meghalaya,ML,Phe Phe Falls,Waterfall / Nature & Adventure,nan,9:00 AM – 5:00 PM,₹50 per person,Oct–Apr (dry season),Guwahati — ~150-180 km,Jowai Bus Stand,Shillong Airport — ~80-100 km,No metro available,Short trek from drop-off; includes river crossing; not wheelchair-friendly,Local guides advisable,Parking at Paradise Adventure Camp area,"Paradise Adventure Camp lodging, small shops",,,Relatively newer “instagrammed” falls; two tiers; photogenic,Meghalaya_tourist.csv
Meghalaya,ML,Krang Suri Falls,Waterfall / Nature & Adventure,nan,7:00 AM – 6:00 PM,₹30-₹50 per person,Oct–Apr (clear water),Guwahati — ~178-220 km,Jowai Bus Stand,Shillong Airport — ~90 km or more,No metro available,Short trek (~15-20 min) via steps; slippery sections; not wheelchair-friendly,Local guides available for navigation & safety,Parking near entrance,"Small food stalls, local eateries",, separately,Known for its crystal-clear blue pool; very photogenic,Meghalaya_tourist.csv
Meghalaya,ML,Wei Sawdong Falls,Waterfall / Off-Beat Trek,nan,Daylight hours,Not documented (likely small local fee),Nov–Apr (dry season),Guwahati — ~150-200 km,Sohra (Cherrapunjee) Bus Stand,Shillong Airport — ~50-70 km,No metro available,"Trek required; rugged, steep trail; moderate to difficult; not wheelchair-friendly",Local guides available from Sohra,At trailhead; limited,Homestays in Cherrapunjee; tea stalls on trails,,https://en.wikipedia.org/wiki/Wei_Sawdong_Falls,Three-tiered waterfall; known for clean pools and serene beauty; off-beat,Meghalaya_tourist.csv
Meghalaya,ML,Laitlum Canyons,Viewpoint / Trekking / Scenic Gorge,nan,Open year-round; best in daylight,Not documented (small viewing/parking fee may apply),Oct–May (clear skies; sunrise/sunset vistas),Guwahati — ~150-200 km,Shillong Bus Stand (ISBT),Shillong Airport — ~20-30 km,No metro available,Trekking/walking required; paths may be steep; not wheelchair accessible,Local/village guides available,Available near vantage points,"Villages, tea stalls, small shops",https://meghalayatourism.in, as standalone page,Laitlum means “end of hills”; spectacular ridges and gorge views,Meghalaya_tourist.csv
Mizoram,MZ,Aizawl,State Capital / City,nan,Daytime,Mostly free,Oct–Mar,Silchar Railway Station (~171–200 km),Aizawl Bus Terminal,Lengpui Airport (~30–40 km),No metro available,Good roads; hilly terrain,Available through local operators,Available near markets and hotels,"Hotels, cafes, Bara Bazar, ATMs, restrooms",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Aizawl,"Cultural hub, handicrafts, Chapchar Kut festival",Mizoram_tourist.csv
Mizoram,MZ,Solomon’s Temple,Religious Monument / Church,nan,Open daily,Free,Year-round,Silchar Railway Station (~170–200 km),Aizawl bus stands,Lengpui Airport (~30–40 km),No metro available,Road accessible,Local guides available,On-site parking available,"Restaurants, gardens, shops in Aizawl",http://kohhranthianghlim.org/,"https://en.wikipedia.org/wiki/Solomon%27s_Temple,_Aizawl",One of the largest churches in Mizoram,Mizoram_tourist.csv
Mizoram,MZ,Reiek Tlang,Hill / Viewpoint / Eco-Tourism Village,nan,Daytime only,Mostly free,Oct–Mar,Silchar Railway Station (~200 km),Aizawl bus stand,Lengpui Airport (~60–70 km),No metro available,Road + short hikes,Available through eco-village initiatives,Small parking areas at base,"Govt. tourist resort, eateries, craft stalls",https://tourism.mizoram.gov.in/,,Sunset/sunrise views; cultural shows by Mizo tribes,Mizoram_tourist.csv
Mizoram,MZ,Hmuifang Tlang,Mountain / Eco-Park / Picnic Spot,nan,Daytime visits,Not documented,Oct–Mar,Silchar Railway Station (~170 km),Aizawl bus stand,Lengpui Airport (~35–50 km),No metro available,Hilly roads; treks of moderate difficulty,Available at tourist resort,Available near resort,"Tourist resort, lodges, eateries",https://tourism.mizoram.gov.in/,,"Known for virgin forests, panoramic views, Mizo heritage",Mizoram_tourist.csv
Mizoram,MZ,Vantawng Khawhthla,Waterfall / Natural Attraction,nan,8:00 AM – 5:00 PM,Nominal; not documented precisely,Oct–Mar,Bairabi Railway Station (~200 km) or Silchar (~250 km),Thenzawl / Serchhip bus stands,Lengpui Airport (~120–140 km),No metro available,Short walk to viewpoint,Available in Thenzawl/Serchhip,Small lot near viewpoint,"Thenzawl handloom shops, eateries, govt. lodges",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Vantawng_Falls,Tallest waterfall in Mizoram; scenic two-tier cascade,Mizoram_tourist.csv
Mizoram,MZ,Phawngpui (Blue Mountain) National Park,Mountain / National Park,nan,Seasonal access; park permits required,Not documented,Nov–Apr,Silchar Railway Station (~250–300 km),Saiha town bus stand,Lengpui Airport (~250–300 km),No metro available,Long road journey + trekking,Local eco-guides available,Available at park entry villages,Limited homestays and forest guest houses,https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Phawngpui,Known as “Blue Mountain”; endemic orchids,Mizoram_tourist.csv
Mizoram,MZ,Tamdil Lake,Natural Lake / Picnic & Boating Spot,nan,8:00 AM – 5:00 PM,Nominal boating/park fee,Oct–Mar,Silchar Railway Station (~190 km),Saitual bus stand,Lengpui Airport (~100 km),No metro available,Good road; lake area accessible,Local guides available,Available near lake entrance,"Tourist lodge, small eateries, boating facilities",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Tamdil_Lake,Largest lake in Mizoram; popular picnic destination,Mizoram_tourist.csv
Mizoram,MZ,Dampa Tiger Reserve,Wildlife Sanctuary / Tiger Reserve,nan,Seasonal entry (daytime only),Permit fees by Forest Dept.,Nov–Mar,Silchar Railway Station (~200 km),Mamit town bus stand,Lengpui Airport (~130 km),No metro available,Remote forest roads; trekking trails,Forest department guides mandatory,At entry points; basic facilities only,"Forest rest houses, eco-lodges, basic shops",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Dampa_Tiger_Reserve,"Part of “Project Tiger”; rich in elephants, birds",Mizoram_tourist.csv
Mizoram,MZ,Lunglei,Hill Station / Town With Panoramic Views,nan,Open city destination,Free,Oct–Mar,Silchar Railway Station (~250 km),Lunglei ISBT,Lengpui Airport (~200 km),No metro available,Road from Aizawl,Local guides available,Available in town,"Hotels, restaurants, shops, markets",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Lunglei,Known for vantage rock 'bridge of rock'; major town in south Mizoram,Mizoram_tourist.csv
Mizoram,MZ,Champhai,Valley Town / Vineyards / Indo-Myanmar Border Hub,nan,Open town destination,Free,Oct–Mar,Silchar Railway Station (~280 km),Champhai bus stand,Lengpui Airport (~215 km),No metro available,Good road but long drive; hilly terrain,Local wine/handloom tours available,Available in town,"Hotels, wine shops, restaurants, border trade markets",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Champhai,Known as “Fruit Bowl of Mizoram”; vineyards and Rih Dil lake nearby,Mizoram_tourist.csv
Mizoram,MZ,Rih Dil Lake,Natural Lake / Sacred Site,nan,Day visits,No fee (border permits may apply),Nov–Mar,Silchar Railway Station (~300 km),Champhai / Zokhawthar bus stand,Lengpui Airport (~220 km),No metro available,Road + small trek; cross into Myanmar,Local guides available,Near Zokhawthar,"Local eateries, lodges",https://tourism.mizoram.gov.in/,https://en.wikipedia.org/wiki/Rih_Dil,Sacred lake for Mizos; part of their folklore,Mizoram_tourist.csv
Mizoram,MZ,Khawnglung Wildlife Sanctuary,Wildlife Sanctuary,nan,Daytime only,Not documented,Oct–Mar,Silchar Railway Station (~220 km),Serchhip bus stand,Lengpui Airport (~170 km),No metro available,Hill roads + trekking trails,Forest guides available,Basic parking at entry,"Forest lodges, small markets in Serchhip",https://tourism.mizoram.gov.in/,,Rare flora and fauna; ecotourism site,Mizoram_tourist.csv
